bookID,title,authors,isbn,num_pages
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,9780439785969,652
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,9780439785969,870
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,9780439785969,352
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,9780439785969,435
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,9780439785969,2690
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,9780439785969,152
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,9780439785969,3342
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780439785969,815
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780439785969,815
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,9780439785969,215
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,9780439785969,6
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780439785969,815
21,A Short History of Nearly Everything,Bill Bryson,9780439785969,544
22,Bill Bryson's African Diary,Bill Bryson,9780439785969,55
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,9780439785969,256
24,In a Sunburned Country,Bill Bryson,9780439785969,335
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,9780439785969,304
26,The Lost Continent: Travels in Small Town America,Bill Bryson,9780439785969,299
27,Neither Here nor There: Travels in Europe,Bill Bryson,9780439785969,254
