PublisherCSV
publisher,publishers
Scholastic Inc.,Scholastic Inc.
Scholastic Inc.,Scholastic Inc.
Scholastic,Scholastic
Scholastic Inc.,Scholastic Inc.
Scholastic,Scholastic
Nimble Books,Nimble Books
Scholastic,Scholastic
Gramercy Books,Gramercy Books
Del Rey Books,Del Rey Books
Crown,Crown
Random House Audio,Random House Audio
Wings Books,Wings Books
Broadway Books,Broadway Books
Broadway Books,Broadway Books
Broadway Books,Broadway Books
Broadway Books,Broadway Books
Broadway Books,Broadway Books
William Morrow Paperbacks,William Morrow Paperbacks
William Morrow Paperbacks,William Morrow Paperbacks
William Morrow Paperbacks,William Morrow Paperbacks
William Morrow Paperbacks,William Morrow Paperbacks
Ballantine Books,Ballantine Books
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Pragmatic Bookshelf,Pragmatic Bookshelf
Atheneum Books for Young Readers: Richard Jackson Books,Atheneum Books for Young Readers: Richard Jackson Books
Teacher Created Resources,Teacher Created Resources
Delacorte Press,Delacorte Press
Cherry Lane Music Company,Cherry Lane Music Company
The New Press,The New Press
Changeling Press,Changeling Press
Viking Juvenile,Viking Juvenile
Firebird,Firebird
iUniverse,iUniverse
Shambhala,Shambhala
Ivy Books,Ivy Books
Amistad,Amistad
HarperAudio,HarperAudio
Harper,Harper
FT Press,FT Press
Archaia,Archaia
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar Straus Giroux,Farrar Straus Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Farrar  Straus and Giroux,Farrar  Straus and Giroux
Dramatists Play Service,Dramatists Play Service
Vintage,Vintage
Routledge,Routledge
North Light Books,North Light Books
Chosen Books,Chosen Books
Association for Supervision & Curriculum Development,Association for Supervision & Curriculum Development
Kingfisher,Kingfisher
ASCD,ASCD
Sovereign World,Sovereign World
Workman Publishing Company,Workman Publishing Company
One Hour Entertainment,One Hour Entertainment
North Light Books,North Light Books
Ace Books,Ace Books
Ace Books,Ace Books
Ace Books,Ace Books
Tor Books,Tor Books
Putnam,Putnam
Tor Science Fiction,Tor Science Fiction
Ace Books,Ace Books
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
Ballantine Books,Ballantine Books
Delacorte Books for Young Readers,Delacorte Books for Young Readers
Thomas Nelson,Thomas Nelson
Wiley,Wiley
Heinemann Drama,Heinemann Drama
William Morrow Paperbacks,William Morrow Paperbacks
Wiley,Wiley
McGraw-Hill,McGraw-Hill
Wiley,Wiley
Wiley,Wiley
Wiley,Wiley
Wiley,Wiley
O'Reilly Media,O'Reilly Media
Citadel,Citadel
Citadel,Citadel
O'Reilly Media,O'Reilly Media
Penguin Classics,Penguin Classics
Signet,Signet
Penguin Books,Penguin Books
Cliffs Notes,Cliffs Notes
